Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Judy Phipps,F,B,Raw,69,65-69,,Open,68.1,75,,,,,,-25,27.5,-32.5,,27.5,,,,,,27.5,2,28.25,27.89,24.6,22.06,Yes,USA,PA,RAW,,6/20/2015,USA,PA,Fort Washington,American Challenge,Yes
LouAnn Petersen,F,BD,Raw,66,65-69,60-69,Masters 65-69,92.08,90+,,,,,,30,32.5,-37.5,,32.5,55,60,65,,65,97.5,1,86.06,83.48,72.4,,Yes,USA,FL,RAW,,12/28/2019,USA,FL,Mount Dora,Beasty Bash,Yes
Mary Carol McCaffrey,F,BD,Raw,69,65-69,70-999,Masters 65-69,75.75,82.5,,,,,,30,32.5,-35,,32.5,47.5,50,52.5,,52.5,85,1,82.36,80.31,70.61,,Yes,USA,FL,RAW,,12/28/2019,USA,FL,Mount Dora,Beasty Bash,Yes
Patricia Kroken,F,D,Raw,65,65-69,60-69,Masters 65-69,82.1,82.5,,,,,,,,,,,,,,,98,98,1,91.17,88.42,77.42,,Yes,USA,NM,RAW,,12/30/2012,USA,NM,Albuquerque,Year End Albuquerque Push/Pull,Yes
Mary-Ann Little,F,SBD,Raw,69,65-69,70-999,Masters 65-69,51.71,52,,,,,58,,,,,35,,,,,81,174,1,212.92,217.85,193.15,44.15,Yes,USA,PA,RAW,,4/12/2014,USA,PA,Erie,Great Lakes Open,Yes
Brittany Turner,F,SBD,Raw,68,65-69,60-69,Open,73.98,75,,,,,105,,,,,60,,,,,132.5,297.5,2,291.87,285.28,251.07,59.42,Yes,USA,VA,RAW,,3/17/2018,USA,VA,Vienna,Potomac Open,Yes
Diane Hiller,F,B,Raw,66,65-69,60-69,Masters 65-69,66.68,67.5,,,,,,,,,,42.5,,,,,,42.5,1,44.19,43.76,38.61,34.43,Yes,USA,NY,RAW,,1/27/2024,USA,NY,Owego,Owego Winter Classic,Yes
Karen Hansen,F,D,Raw,66.5,65-69,60-69,Masters 65-69,,90+,,,,,,,,,,,,,,,136,136,1,,,,,Yes,USA,VA,RAW,,3/14/2015,USA,VA,Zion Crossroads,United States Open,Yes
Sonya Jones,F,SBD,Raw,65,65-69,60-69,Masters 65-69,80.4,82.5,,,,,52,,,,,45,,,,,85,182,1,171.07,166.07,145.6,34.99,Yes,USA,VA,RAW,,2/24/2024,USA,VA,Ashland,Ironbuilt 804 Classic,Yes
Karen Hansen,F,SBD,Raw,69,65-69,,Open,87.2,90,52.5,60,65,,65,47.5,50,52.5,,52.5,115,122.5,127.5,,127.5,245,2,221.55,214.62,187.08,45.62,Yes,USA,,RAW,,7/8/2017,Ireland,,Ringaskiddy,European Powerlifting Championships,Yes
Jo Hendon,F,B,Raw,65,65-69,60-69,Masters 65-69,54.52,56,,,,,,,,,,45,,,,,,45,1,53.1,54.07,47.86,41.39,Yes,USA,VA,RAW,,9/9/2023,USA,VA,Fredericksburg,Patriots Open,Yes
Jo Hendon,F,D,Raw,65,65-69,60-69,Masters 65-69,54.52,56,,,,,,,,,,,,,,,100,100,1,118,120.16,106.35,,Yes,USA,VA,RAW,,9/9/2023,USA,VA,Fredericksburg,Patriots Open,Yes
Marci Vanhorn,F,B,Raw,66,65-69,60-69,Open,51.71,52,,,,,,,,,,35,,,,,,35,1,42.83,43.82,38.85,33.67,Yes,USA,VA,RAW,,9/9/2023,USA,VA,Fredericksburg,Patriots Open,Yes
Marci Vanhorn,F,B,Raw,66,65-69,60-69,Masters 65-69,51.71,52,,,,,,,,,,35,,,,,,35,1,42.83,43.82,38.85,33.67,Yes,USA,VA,RAW,,9/9/2023,USA,VA,Fredericksburg,Patriots Open,Yes
Helena Butler Pettit,F,D,Raw,69,65-69,,Masters 65-69,82.01,82.5,,,,,,,,,,,,,,,110,110,1,102.39,99.31,86.96,,Yes,USA,MD,RAW,,12/15/2018,USA,VA,Fredericksburg,Holiday Open,Yes
Jenny Telles,F,SBD,Raw,65.5,65-69,60-69,Masters 65-69,45.27,48,,,,,45,,,,,27.5,,,,,67.5,140,1,188.69,193.35,172.91,40.32,Yes,USA,NM,RAW,,11/15/2014,USA,NM,Albuquerque,New Mexico State Championships,Yes
Faith Rosenberg,F,D,Raw,65,65-69,60-69,Masters 65-69,54.43,56,,,,,,,,,,,,,,,67.5,67.5,1,79.74,81.21,71.88,,Yes,USA,OH,RAW,,4/3/2022,USA,OH,Bedford Heights,Tri-State Championships,Yes
Susan Shofner,F,B,Raw,67,65-69,60-69,Masters 65-69,72.12,75,,,,,,,,,60,57.5,,,,,,57.5,1,57.19,56.06,49.38,45.01,Yes,USA,OH,RAW,,4/3/2022,USA,OH,Bedford Heights,Tri-State Championships,Yes
Linda Leightley,F,BD,Raw,68.5,65-69,60-69,Masters 65-69,60,60,,,,,,,,,,37.5,,,,,110.5,148,1,164.06,165,145.79,,Yes,USA,VA,RAW,,1/25/2014,USA,VA,Woodbridge,Potomac Open,Yes
Diane Hiller,F,B,Raw,65,65-69,60-69,Open,65.14,67.5,,,,,,,,,,42.5,,,,,,42.5,2,44.8,44.52,39.29,34.83,Yes,USA,NY,RAW,,1/21/2023,USA,NY,Owego,Owego Winter Classic,Yes
Diane Hiller,F,B,Raw,65,65-69,60-69,Masters 65-69,65.14,67.5,,,,,,,,,,42.5,,,,,,42.5,1,44.8,44.52,39.29,34.83,Yes,USA,NY,RAW,,1/21/2023,USA,NY,Owego,Owego Winter Classic,Yes
Sonya Jones,F,BD,Raw,65,65-69,60-69,Masters 65-69,81.6,82.5,,,,,,,,,,42.5,,,,,105,147.5,1,137.63,133.52,116.95,,Yes,USA,VA,RAW,,3/16/2024,USA,VA,Woodstock,Eastern Open,Yes
Sonya Jones,F,BD,Raw,65,65-69,60-69,Law/Fire/Military,81.6,82.5,,,,,,,,,,42.5,,,,,105,147.5,1,137.63,133.52,116.95,,Yes,USA,VA,RAW,,3/16/2024,USA,VA,Woodstock,Eastern Open,Yes
Sonya Jones,F,B,Raw,65,65-69,60-69,Masters 65-69,81.6,82.5,,,,,,,,,,42.5,,,,,,42.5,1,39.66,38.47,33.7,31.95,Yes,USA,VA,RAW,,3/16/2024,USA,VA,Woodstock,Eastern Open,Yes
Sonya Jones,F,B,Raw,65,65-69,60-69,Law/Fire/Military,81.6,82.5,,,,,,,,,,42.5,,,,,,42.5,1,39.66,38.47,33.7,31.95,Yes,USA,VA,RAW,,3/16/2024,USA,VA,Woodstock,Eastern Open,Yes
Sonya Jones,F,D,Raw,65,65-69,60-69,Masters 65-69,81.6,82.5,,,,,,,,,,,,,,,105,105,1,97.97,95.04,83.25,,Yes,USA,VA,RAW,,3/16/2024,USA,VA,Woodstock,Eastern Open,Yes
Sonya Jones,F,D,Raw,65,65-69,60-69,Law/Fire/Military,81.6,82.5,,,,,,,,,,,,,,,105,105,1,97.97,95.04,83.25,,Yes,USA,VA,RAW,,3/16/2024,USA,VA,Woodstock,Eastern Open,Yes
Tonnie Alliance,F,BD,Raw,69,65-69,60-69,Masters 65-69,65.5,67.5,,,,,,,,,,42,,,,,104,146,1,153.4,152.3,134.42,,Yes,USA,OH,RAW,,10/30/2014,USA,VA,Virginia Beach,World Championships,Yes
Karen Poyner,F,BD,Raw,66,65-69,60-69,Masters 65-69,41.37,44,,,,,,,,,,45,,,,85,80,125,1,180.66,183.06,165.52,,Yes,USA,VA,RAW,,7/16/2022,USA,VA,Norfolk,Ironman Nationals,Yes
Patricia Kroken,F,SBD,Raw,65.5,65-69,60-69,Masters 65-69,81.42,82.5,72.5,80,87.5,,87.5,35,,,,35,92.5,107.5,-112.5,,107.5,230,1,214.84,208.44,182.61,43.98,Yes,USA,NM,RAW,,9/1/2013,USA,NM,,New Mexico State Championships,Yes
Marcia Anderson,F,SBD,Raw,69,65-69,70-999,Masters 65-69,52.89,56,,,,,67,,,,,30,,,,,85,182,1,219.25,223.92,198.37,45.3,Yes,USA,VA,RAW,,7/6/2019,USA,VA,Stafford,Battlefield Open,Yes
Lori Christ,F,D,Raw,66,65-69,60-69,Masters 65-69,54.9,56,,,,,,,,,,,,,,,91,91,1,106.88,108.75,96.24,,Yes,USA,NM,RAW,,10/21/2023,USA,TX,Houston,Down South Pull Classic,Yes
Karen Harding,F,D,Raw,65.5,65-69,60-69,Masters 65-69,74.84,75,,,,,,,,,,,,,137.5,,137.5,137.5,1,134.07,130.89,115.15,,Yes,USA,MA,RAW,,6/1/2012,USA,NH,Hooksett,National Championships,Yes
Susan Shinn,F,SBD,Raw,,65-69,,Masters 65-69,90,90,,,,,40,,,,,37.5,,,,102.5,97.5,175,1,156.02,151.21,131.43,32.23,Yes,USA,NH,RAW,,3/24/2012,USA,VT,Colchester,Masters Nationals,Yes
Karen Harding,F,D,Raw,65.5,65-69,60-69,Masters 65-69,75,75,,,,,,,,,,,,,,,142.5,142.5,1,138.79,135.47,119.16,,Yes,USA,MA,RAW,,3/24/2012,USA,VT,Colchester,Masters Nationals,Yes
Judy Wolff,F,B,Raw,66,65-69,60-69,Masters 65-69,59.65,60,,,,,,47.5,50,-52.5,,50,,,,,,50,1,55.63,56,49.48,43.11,Yes,USA,MA,RAW,,5/19/2018,USA,,,American Challenge,Yes
Karen Poyner,F,BD,Raw,66,65-69,60-69,Masters 65-69,42.3,44,,,,,,,,,47,46,,,,86,80,126,1,178.94,182.01,164.05,,Yes,USA,VA,RAW,,11/11/2022,USA,VA,Virginia Beach,Powerlifting and Single Lift Worlds,Yes
Susan Gregory,F,SBD,Raw,65,65-69,60-69,Masters 65-69,80.9,82.5,,,,,75,,,,,50,,,,,97.5,222.5,1,208.49,202.34,177.33,42.66,Yes,USA,NE,RAW,,11/11/2022,USA,VA,Virginia Beach,Powerlifting and Single Lift Worlds,Yes
Beatrice Temple,F,BD,Raw,69,65-69,,Masters 65-69,96,90+,,,,,,,,,,47.5,,,,,142.5,190,1,164.8,160.24,138.34,,Yes,USA,FL,RAW,,11/11/2022,USA,VA,Virginia Beach,Powerlifting and Single Lift Worlds,Yes
Laura Lofton,F,B,Raw,66,65-69,60-69,Masters 65-69,79.38,82.5,,,,,,,,,,40,,,,,,40,1,37.84,36.76,32.25,30.3,Yes,USA,VA,RAW,,10/1/2022,USA,VA,Woodstock,Shenandoah Open,Yes
Laura Lofton,F,D,Raw,66,65-69,60-69,Masters 65-69,79.38,82.5,,,,,,,,,,,,,,,80,80,1,75.67,73.52,64.5,,Yes,USA,VA,RAW,,10/1/2022,USA,VA,Woodstock,Shenandoah Open,Yes
Karen Hansen,F,B,Raw,69,65-69,,Masters 65-69,85.73,90,,,,,,,,,,57.5,,,,,,57.5,1,52.4,50.77,44.32,42.69,Yes,USA,VA,RAW,,12/2/2017,USA,VA,Zion Crossroads,Christmas Classic,Yes
Tonnie Alliance,F,BD,Raw,69,65-69,60-69,Masters 65-69,65.5,67.5,,,,,,,,,,42,,,,,104,146,1,153.4,152.3,134.42,,Yes,USA,OH,RAW,,11/2/2014,USA,VA,Virginia Beach,World Championships,Yes
Linda Leightley,F,SBD,Raw,69,65-69,60-69,Masters 65-69,58.74,60,,,,,65,,,,,37.5,,,,,112.5,215,1,241.58,243.69,215.37,49.33,Yes,USA,VA,RAW,,6/14/2014,USA,VA,Zion Crossroads,American Challenge - VA,Yes
Cindy Morgan-Jaffe,F,B,Raw,65,65-69,60-69,Masters 65-69,68.2,75,,,,,,,,,,37.5,,,,,,37.5,1,38.49,37.99,33.51,30.06,Yes,USA,DC,RAW,,6/17/2023,USA,MD,Silver Springs,American Challenge - MD,Yes
Cindy Morgan-Jaffe,F,D,Raw,65,65-69,60-69,Masters 65-69,68.2,75,,,,,,,,,,,,,,,65,65,1,66.71,65.85,58.08,,Yes,USA,DC,RAW,,6/17/2023,USA,MD,Silver Springs,American Challenge - MD,Yes
Marci Vanhorn,F,B,Raw,66,65-69,60-69,Masters 65-69,49.7,52,,,,,,,,,,40,,,,,,40,1,50.34,51.62,45.85,39.96,Yes,USA,VA,RAW,,11/17/2023,USA,VA,Virginia Beach,World Youth and Womens Powerlifting Championship,Yes
Marci Vanhorn,F,D,Raw,66,65-69,60-69,Masters 65-69,49.7,52,,,,,,,,,,,,,,,57.5,57.5,1,72.36,74.2,65.91,,Yes,USA,VA,RAW,,11/17/2023,USA,VA,Virginia Beach,World Youth and Womens Powerlifting Championship,Yes
Elaine Ostrander,F,SBD,Raw,65,65-69,60-69,Masters 65-69,96.8,90+,,,,,90,,,,,42.5,,,,,110,242.5,1,209.63,203.95,175.9,43.64,Yes,USA,MD,RAW,,11/17/2023,USA,VA,Virginia Beach,World Youth and Womens Powerlifting Championship,Yes
Elaine Ostrander,F,BD,Raw,65,65-69,60-69,Masters 65-69,96.8,90+,,,,,,,,,,42.5,,,,,110,152.5,1,131.83,128.26,110.62,,Yes,USA,MD,RAW,,11/17/2023,USA,VA,Virginia Beach,World Youth and Womens Powerlifting Championship,Yes
Elaine Ostrander,F,D,Raw,65,65-69,60-69,Masters 65-69,96.8,90+,,,,,,,,,,,,,,,110,110,1,95.09,92.51,79.79,,Yes,USA,MD,RAW,,11/17/2023,USA,VA,Virginia Beach,World Youth and Womens Powerlifting Championship,Yes
Kathryn Eldred,F,B,Raw,69,65-69,,Masters 65-69,50.39,52,,,,,,,,,,55,,,,,,55,1,68.54,70.24,62.35,54.21,Yes,USA,AZ,RAW,,6/14/2014,USA,AZ,Tucson,American Challenge - AZ,Yes
Rocky Luedeker,F,SBD,Raw,,65-69,,Masters 65-69,44.5,48,35,40,45,48,45,35,37.5,40,,40,65,75,80,,80,165,1,225.31,230.57,206.56,48.39,Yes,USA,AZ,RAW,,6/24/2017,USA,AZ,Prescott,American Challenge,Yes
Linda Leightley,F,BD,Raw,69,65-69,70-999,Masters 65-69,60,60,,,,,,,,,,42.5,,,,,119,161.5,1,179.03,180.05,159.09,,Yes,USA,VA,RAW,,1/17/2015,USA,VA,Woodbridge,Potomac Open,Yes
Karen Hansen,F,D,Raw,68,65-69,60-69,Masters 65-69,86.55,90,,,,,,,,,,,,,,,133.5,133.5,1,121.13,117.35,102.35,,Yes,USA,VA,RAW,,9/16/2016,USA,VA,Zion Crossroads,Mid-Atlantic Regional,Yes
Diane Hiller,F,B,Raw,66,65-69,60-69,Masters 65-69,68.95,75,,,,,,,,,,45,,,,,,45,1,45.9,45.24,39.89,35.89,Yes,USA,NY,RAW,,6/17/2023,USA,NY,Owego,American Challenge - NY,Yes
Trish Kirkland,F,SBD,Raw,65,65-69,60-69,Masters 65-69,53.66,56,50,55,57.5,,57.5,37.5,42.5,-47.5,,42.5,70,80,85,,85,185,1,220.67,225.07,199.29,45.5,Yes,USA,FL,RAW,,5/17/2019,USA,,,American Challenge,Yes
Mary Carol McCaffrey,F,BD,Raw,69,65-69,70-999,Masters 65-69,78.15,82.5,,,,,,30,32.5,-35,,32.5,45,47.5,50,,50,82.5,1,78.66,76.5,67.17,,Yes,USA,FL,RAW,,5/17/2019,USA,,,American Challenge,Yes
Beatrice Temple,F,SBD,Raw,69,65-69,,Open,95.2,90+,,,,,106.5,,,,,54.4,,,,,136,296.9,2,258.41,251.11,217,53.7,Yes,USA,FL,RAW,,6/25/2022,USA,FL,Viera,American Challenge FL,Yes
Beatrice Temple,F,SBD,Raw,69,65-69,,Masters 65-69,95.2,90+,,,,,106.5,,,,,54.4,,,,,136,296.9,1,258.41,251.11,217,53.7,Yes,USA,FL,RAW,,6/25/2022,USA,FL,Viera,American Challenge FL,Yes
Mary Carol McCaffrey,F,BD,Raw,69,65-69,60-69,Masters 65-69,78.74,82.5,,,,,,30,32.5,-35,,32.5,40,45,47.5,,47.5,80,1,75.98,73.86,64.83,,Yes,USA,,RAW,,12/29/2018,USA,FL,Mount Dora,Beasty Bash,Yes
Maureen Clary,F,B,Raw,66,65-69,60-69,M6-U,67.5,67.5,,,,,,90,-100,-100,,90,,,,,,90,1,92.92,91.86,81.03,72.49,,USA,SC,365Strong,,4/16/2022,USA,,Florence,April Armageddon,Yes
Barbara Haiden,F,SBD,Wraps,67,65-69,60-69,M6,72.76,75,125,-135,-137.5,,125,90,92.5,95,,95,125,130,135,,135,355,1,351.42,344.1,303,71.5,,USA,,365Strong,,12/9/2017,USA,SC,Conway,East Coast Conflict,Yes
Maureen Clary,F,SBD,Raw,65,65-69,60-69,M6-U,67.5,67.5,115,122.5,,,122.5,90,95.75,-98,,95.75,132.5,-145,145,,145,363.25,1,375.02,370.74,327.04,76.2,,USA,SC,365Strong,,1/22/2022,USA,NC,Charlotte,New Year Power Bash,Yes
Maureen Clary,F,B,Raw,65,65-69,60-69,F-M6B-R-X,73.8,75,,,,,,95.5,100,105,-111,105,,,,,,105,1,103.15,100.84,88.76,81.49,,USA,,365Strong,,6/5/2021,USA,NC,Charlotte,Mountain Island Power Invasion,Yes
Maureen Clary,F,SBD,Raw,66,65-69,60-69,M6-U,67.4,67.5,-120,-120,120,,120,95,-100.5,-100.5,,95,137.5,-147.5,-147.5,,137.5,352.5,1,364.23,360.15,317.71,74.01,,USA,SC,365Strong,,4/23/2022,USA,NC,North Wilkesboro,USA Nationals,Yes
Sue Vaterlaus,F,SBD,Raw,65,65-69,60-69,Masters 65-69,98.16,100,60,65,72.5,,72.5,52.5,,57.5,,57.5,95,102.5,110,,110,240,1,206.31,200.95,173.03,43.02,Yes,USA,,NORCAL,,4/14/2019,USA,CA,,Powerlifting Open,Yes
Charlene Muscio,F,D,Raw,68,65-69,60-69,Masters 65-69,75,75,,,,,,,,,,,105,110,,,110,110,1,107.14,104.57,91.99,,Yes,USA,,NORCAL,,3/25/2018,USA,CA,Concord,Regionals,Yes
Catherine Morrison,F,S,Raw,68,65-69,60-69,F-M6,66.3,70,64,67.5,70,,70,,,,,,,,,,,70,1,73.03,72.38,63.86,,Yes,USA,,ADFPF,WDFPF,4/17/2021,USA,IN,Evansville,Single Event Nationals,Yes
Catherine Morrison,F,B,Raw,68,65-69,60-69,F-M6,66.3,70,,,,,,50,50.5,-52.5,,50.5,,,,,,50.5,1,52.68,52.21,46.07,41.02,Yes,USA,,ADFPF,WDFPF,4/17/2021,USA,IN,Evansville,Single Event Nationals,Yes
Catherine Morrison,F,D,Raw,68,65-69,60-69,F-M6,66.3,70,,,,,,,,,,,112.5,117.5,120,120.5,120,120,1,125.19,124.07,109.48,,Yes,USA,,ADFPF,WDFPF,4/17/2021,USA,IN,Evansville,Single Event Nationals,Yes
Anne Clark,F,SBD,Raw,,65-69,,Masters 65-69,61.8,63,30,-35,-35,,30,32.5,-35,-35,,32.5,75,-82.5,-82.5,,75,137.5,1,149.64,149.85,132.35,30.46,Yes,USA,,ADFPF,WDFPF,7/19/2014,USA,,,YMCA Powerlifting Nationals,Yes
Mary Rapert,F,BD,Raw,68,65-69,60-69,F-M6,102.95,90+,,,,,,60,62.5,65,,65,137.5,142.5,145,,145,210,1,177.23,173.43,148.43,,Yes,USA,MO,ADFPF,WDFPF,9/1/2018,USA,MO,,Missouri State Championship,Yes
Louise Miller,F,S,Raw,67,65-69,60-69,F-M6,61.5,63,55,60.5,62.5,,62.5,,,,,,,,,,,62.5,1,68.22,68.37,60.39,,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Kate Walker,F,S,Raw,67,65-69,60-69,F-M6,62.1,63,50,55,61,,61,,,,,,,,,,,61,2,66.19,66.23,58.49,,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Kate Walker,F,B,Raw,67,65-69,60-69,F-M6,62.1,63,,,,,,40,-43.5,-43.5,,40,,,,,,40,2,43.4,43.43,38.36,33.65,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Louise Miller,F,B,Raw,67,65-69,60-69,F-M6,61.5,63,,,,,,40,-43,-43,,40,,,,,,40,1,43.66,43.75,38.65,33.85,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Mary Rapert,F,B,Raw,67,65-69,60-69,F-M6,103.4,90+,,,,,,50,55,60,,60,,,,,,60,1,50.55,49.5,42.34,43.15,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Louise Miller,F,D,Raw,67,65-69,60-69,F-M6,61.5,63,,,,,,,,,,,85,91,93.5,-95.5,93.5,93.5,2,102.06,102.28,90.34,,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Kate Walker,F,D,Raw,67,65-69,60-69,F-M6,62.1,63,,,,,,,,,,,80,90,95,-96,95,95,1,103.08,103.15,91.1,,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Mary Rapert,F,D,Single-ply,67,65-69,60-69,F-EM6,103.4,90+,,,,,,,,,,,127.5,137.5,141.5,,141.5,141.5,1,119.22,116.73,99.84,,Yes,USA,,ADFPF,WDFPF,4/3/2017,USA,IL,Macomb,National Single Lift Championships,Yes
Ellen Stein,F,SBD,Wraps,69,65-69,60-69,Open,61.05,67.5,158.76,170.1,179.17,,179.17,86.18,90.72,92.99,,92.99,174.63,185.97,-197.31,,185.97,458.13,1,502.36,503.97,445.18,102.33,,USA,NY,USA-UA,,5/7/2022,USA,NE,Omaha,Ed Coan Classic,No
Susan Gregory,F,SBD,Wraps,65,65-69,60-69,Open,79.74,82.5,86.18,88.45,-90.72,,88.45,54.43,56.7,-58.97,,56.7,95.25,97.52,99.79,,99.79,244.94,2,231.17,224.53,196.94,47.26,,USA,NE,USA-UA,,5/13/2023,USA,NE,Omaha,Ed Coan Classic,No
Vicki Brackett,F,SBD,Single-ply,66,65-69,60-69,F-M3,125.15,84+,112.5,125,-132.5,,125,100,107.5,-112.5,,107.5,150,-155,157.5,,157.5,390,1,309.44,309.55,261.7,54.66,Yes,USA,GA,AMP,IPF,10/28/2023,USA,GA,Alpharetta,Georgia State Championships,Yes
Vicki Brackett,F,SBD,Single-ply,66,65-69,60-69,F-O,125.15,84+,112.5,125,-132.5,,125,100,107.5,-112.5,,107.5,150,-155,157.5,,157.5,390,1,309.44,309.55,261.7,54.66,Yes,USA,GA,AMP,IPF,10/28/2023,USA,GA,Alpharetta,Georgia State Championships,Yes
Dora Justice,F,B,Single-ply,66,65-69,60-69,F-M3,55.98,57,,,,,,82.5,85,87.5,,87.5,,,,,,87.5,1,101.45,102.98,91.09,57.24,Yes,USA,TX,AMP,IPF,1/27/2024,USA,TX,Austin,Bench Press Nationals,Yes
Vicki Brackett,F,B,Single-ply,66,65-69,60-69,F-M3,127.51,84+,,,,,,107.5,112.5,115.5,,115.5,,,,,,115.5,1,91.23,91.37,77.18,54.13,Yes,USA,GA,AMP,IPF,1/27/2024,USA,TX,Austin,Bench Press Nationals,Yes
Dora Justice,F,B,Raw,66,65-69,60-69,FR-M3,55.94,57,,,,,,70,75,-80,,75,,,,,,75,1,87,88.32,78.12,67.62,Yes,USA,TX,AMP,IPF,1/27/2024,USA,TX,Austin,Bench Press Nationals,Yes
Tina Weber,F,SBD,Raw,66,65-69,60-69,FR-M3,67.27,69,107.5,112.5,-115,,112.5,62.5,67.5,-72.5,,67.5,115,125,137.5,,137.5,317.5,1,328.43,324.84,286.57,66.73,Yes,USA,FL,AMP,IPF,6/18/2022,USA,FL,Orlando,Nationals,Yes
Vicki Brackett,F,SBD,Single-ply,65,65-69,60-69,F-M3,125.8,84+,-150,-150,155,,155,100,105,110,,110,165,177.5,-180,,177.5,442.5,1,350.64,350.9,296.59,61.95,Yes,USA,GA,AMP,IPF,5/6/2023,USA,GA,,Southeastern Open,Yes
Tina Weber,F,SBD,Raw,67,65-69,60-69,FR-M3,68.25,69,90,105,107.5,,107.5,62.5,65,67.5,,67.5,110,115,120,,120,295,1,302.63,298.72,263.46,61.49,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Debbie Bookman,F,SBD,Raw,65,65-69,60-69,FR-M3,72.71,76,72.5,77.5,80,,80,47.5,52.5,-55,,52.5,102.5,112.5,117.5,,117.5,250,1,247.57,242.43,213.48,50.37,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Sue Judd,F,SBD,Raw,65,65-69,60-69,FR-M3,83.12,84,65,67.5,75,,75,37.5,42.5,45,,45,80,85,92.5,,92.5,212.5,1,196.52,190.51,166.67,40.3,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Tina Weber,F,B,Raw,67,65-69,60-69,FR-M3,68.25,69,,,,,,62.5,65,67.5,,67.5,,,,,,67.5,1,69.25,68.35,60.28,54.09,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Debbie Bookman,F,B,Raw,65,65-69,60-69,FR-M3,72.71,76,,,,,,47.5,52.5,-55,,52.5,,,,,,52.5,1,51.99,50.91,44.83,40.97,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Sue Judd,F,B,Raw,65,65-69,60-69,FR-M3,83.12,84,,,,,,37.5,42.5,45,,45,,,,,,45,1,41.62,40.34,35.3,33.66,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Debbie Bookman,F,BD,Raw,65,65-69,60-69,FR-M3,72.71,76,,,,,,47.5,52.5,-55,,52.5,102.5,112.5,117.5,,117.5,170,1,168.35,164.85,145.17,,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Sue Judd,F,BD,Raw,65,65-69,60-69,FR-M3,83.12,84,,,,,,37.5,42.5,45,,45,80,85,92.5,,92.5,137.5,1,127.16,123.27,107.85,,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Debbie Bookman,F,D,Raw,65,65-69,60-69,FR-M3,72.71,76,,,,,,,,,,,102.5,112.5,117.5,,117.5,117.5,1,116.36,113.94,100.34,,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Sue Judd,F,D,Raw,65,65-69,60-69,FR-M3,83.12,84,,,,,,,,,,,80,85,92.5,,92.5,92.5,1,85.54,82.93,72.55,,Yes,USA,FL,AMP,IPF,12/9/2023,USA,FL,Lutz,32nd Annual Senior Games Powerlifting Championship,Yes
Dora Justice,F,B,Single-ply,65,65-69,60-69,F-M3,56.35,57,,,,,,70,-80,-82.5,,70,,,,,,70,1,80.81,81.96,72.49,45.57,Yes,USA,TX,AMP,IPF,1/14/2023,USA,,,Bench Press National Championships,Yes
Dora Justice,F,B,Raw,65,65-69,60-69,FR-M3,56.2,57,,,,,,65,70,-75,,70,,,,,,70,1,80.95,82.13,72.64,62.9,Yes,USA,TX,AMP,IPF,1/14/2023,USA,,,Bench Press National Championships,Yes
